num_functions,cyclomatic_complexity,num_loops,num_function_calls,num_memory_allocations,num_pointer_operations,num_exp_math_operations,power_mW
563,38,33,89,6,9,57,17936.8
576,43,30,109,18,9,69,1113.0
578,53,39,110,20,9,35,2645.6666666666665
578,41,30,105,14,9,47,449.3333333333333
568,44,33,92,12,9,21,9518.2
563,43,30,94,8,9,47,6647.0
581,45,29,106,20,9,41,2326.25
573,41,28,82,4,9,25,578.3333333333334
567,48,39,91,10,9,61,9601.333333333334
579,56,36,111,20,9,41,5364.666666666667
593,44,35,110,4,9,31,5288.4
573,32,26,94,2,9,47,404.6666666666667
563,32,25,98,10,9,19,911.3333333333334
566,40,30,84,10,9,43,999.0
571,40,31,95,4,9,25,1073.25
565,37,25,86,14,9,65,1982.2
557,40,33,83,4,9,19,1051.0
593,52,39,118,12,9,63,281.2
586,48,32,112,12,9,27,260.0
583,58,41,101,16,9,73,2805.8
564,39,33,89,4,9,61,452.0
590,53,35,113,18,9,45,442.6
564,37,31,80,8,9,65,782.8
586,65,45,118,18,9,45,2642.3333333333335
565,52,35,92,14,9,41,1596.4
568,45,34,94,12,9,21,1592.0
542,23,19,65,4,9,31,1468.2
597,52,35,120,14,9,47,53.666666666666664
589,53,39,106,6,9,33,50.0
566,44,33,97,8,9,17,1453.4
584,44,32,108,14,9,47,18.666666666666668
563,51,38,101,16,9,79,2654.3333333333335
571,37,26,94,14,9,29,2698.0
578,47,37,92,12,9,57,215.4
599,52,39,117,10,9,73,14.666666666666666
586,50,34,97,14,9,71,1981.3333333333333
547,34,24,65,2,9,65,2263.4
597,54,40,115,8,9,65,20.0
563,40,30,86,8,9,59,1496.8
564,33,26,84,4,9,13,2166.6666666666665
574,32,27,91,2,9,47,2130.3333333333335
574,40,28,91,8,9,53,1509.4
564,32,22,92,16,9,37,21.0
616,56,43,132,14,9,53,1885.25
589,49,35,102,16,9,73,259.5
572,52,36,105,16,9,67,2413.75
562,35,24,76,4,9,19,2767.25
554,35,23,75,8,9,47,1783.25
539,21,15,62,2,9,23,425.0
571,39,32,90,6,9,51,926.2
563,46,29,99,20,9,53,5963.333333333333
598,52,43,121,14,9,77,675.0
618,54,44,119,2,9,53,910.6
586,51,39,98,12,9,75,207.0
578,47,34,114,16,9,31,483.0
569,40,27,92,4,9,25,2015.3333333333333
568,41,29,100,18,9,39,235.0
547,37,30,67,6,9,63,1505.0
601,63,45,126,20,9,83,2187.6666666666665
565,44,32,81,2,9,17,1364.0
574,40,29,93,2,9,41,1882.0
563,39,27,78,4,9,37,46.0
606,58,43,117,12,9,75,2188.0
575,48,30,103,14,9,23,250.25
574,44,31,114,18,9,33,1508.0
568,41,30,76,2,9,53,3888.3333333333335
578,43,33,110,14,9,77,440.0
575,52,40,98,10,9,55,18.0
569,46,32,109,18,9,39,1517.2
561,31,25,94,6,9,21,3401.6666666666665
587,38,30,93,4,9,61,277.2
581,48,35,112,14,9,41,2081.25
536,28,22,66,4,9,37,218.8
546,36,24,76,10,9,19,1298.3333333333333
569,46,32,97,10,9,43,1711.8
563,44,33,87,2,9,41,1537.4
589,51,37,110,16,9,31,1495.8
577,43,33,93,10,9,61,3998.6666666666665
582,51,36,94,12,9,33,34.0
591,63,44,107,20,9,83,1522.4
579,48,35,103,14,9,59,258.6666666666667
587,50,35,107,8,9,71,18.0
597,51,38,102,6,9,33,2858.3333333333335
599,61,48,124,20,9,83,214.0
570,48,34,90,8,9,41,1267.0
558,40,29,73,2,9,17,21.0
582,38,33,98,4,9,19,1890.5
584,49,38,117,18,9,81,288.4
571,37,25,89,12,9,21,215.6
590,53,38,103,8,9,71,21.0
574,58,37,97,20,9,35,21.0
579,49,31,105,16,9,61,22.666666666666668
550,35,23,85,12,9,27,578.3333333333334
567,32,23,92,14,9,35,1404.8
593,53,37,112,14,9,41,14.666666666666666
592,57,41,110,20,9,83,47.333333333333336
580,55,37,109,20,9,47,297.2
582,55,40,115,20,9,47,29.333333333333332
594,47,36,114,10,9,31,1539.2
579,44,31,96,8,9,47,30.333333333333332
563,34,25,93,2,9,23,14.666666666666666
587,59,43,116,20,9,35,27.0
578,56,37,97,18,9,63,775.8
540,35,22,73,14,9,47,21.333333333333332
545,40,26,83,8,9,17,984.75
572,28,22,84,4,9,49,205.2
538,20,16,71,2,9,23,46.0
597,61,44,118,12,9,45,391.6666666666667
567,43,33,91,6,9,63,231.4
562,32,27,80,2,9,35,494.4
555,30,21,75,6,9,21,1037.3333333333333
559,44,32,79,6,9,15,925.5
589,48,36,106,16,9,49,267.0
585,52,36,100,18,9,45,229.0
562,36,26,93,16,9,25,1833.0
562,38,28,92,4,9,43,97.66666666666667
571,50,34,102,14,9,35,255.0
558,38,28,89,4,9,13,1205.6666666666667
576,38,31,95,10,9,25,202.4
531,30,23,69,10,9,31,27.666666666666668
584,59,41,114,18,9,75,1450.3333333333333
557,32,25,80,4,9,31,21.333333333333332
591,42,37,110,6,9,57,1910.5
549,41,29,80,6,9,57,208.6
533,32,23,64,6,9,21,4129.666666666667
586,51,40,98,2,9,53,1334.6666666666667
596,51,33,120,14,9,29,212.4
569,49,31,91,16,9,43,902.4
581,62,44,100,16,9,79,4230.333333333333
568,45,32,84,10,9,49,255.5
577,51,35,111,18,9,27,506.8
618,63,47,132,16,9,73,613.4
575,49,37,85,6,9,45,3693.0
588,56,36,117,18,9,51,603.5
591,45,37,95,2,9,65,162.33333333333334
581,61,41,98,18,9,45,1512.6
583,41,36,103,4,9,55,208.8
572,46,35,101,18,9,75,142.66666666666666
571,54,35,99,16,9,37,1613.4
577,46,33,106,18,9,51,373.0
597,55,38,107,18,9,51,204.8
557,46,32,82,10,9,31,3802.6666666666665
578,48,38,100,8,9,41,584.3333333333334
585,51,38,96,4,9,37,119.0
561,27,24,72,2,9,65,35.0
566,33,23,92,10,9,43,204.2
590,53,41,101,6,9,69,3908.0
583,54,39,98,12,9,57,1662.25
590,58,43,103,10,9,49,24.666666666666668
566,49,34,92,18,9,45,397.0
592,54,41,107,4,9,49,203.4
596,61,45,119,14,9,29,6864.333333333333
563,47,29,90,14,9,35,878.6666666666666
576,34,27,94,10,9,61,220.2
582,45,32,99,16,9,37,2187.3333333333335
583,45,34,98,4,9,31,214.6
588,51,38,97,4,9,67,1657.0
596,62,42,122,18,9,33,1079.0
559,49,37,85,14,9,53,1119.8
563,44,32,97,12,9,51,1805.5
582,46,33,111,12,9,45,982.2
574,38,28,104,12,9,33,3354.5
567,37,27,95,12,9,21,2212.3333333333335
589,43,35,113,10,9,67,211.4
565,40,31,85,6,9,51,239.2
579,40,29,90,6,9,27,2167.0
594,60,42,104,14,9,77,3309.75
556,32,27,69,2,9,65,1917.25
604,53,39,116,12,9,27,18.0
581,41,34,100,8,9,41,1629.6
604,52,39,124,14,9,23,2238.6666666666665
