num_functions,cyclomatic_complexity,num_loops,num_function_calls,num_memory_allocations,num_pointer_operations,num_exp_math_operations,execution_time,power_mW
315,31,13,83,20,9,47,0,5601.0
328,30,16,97,20,11,53,0,1891.5
317,33,15,80,18,3,27,0,2880.3333333333335
348,29,14,107,8,21,29,0,10768.0
310,14,9,74,6,7,27,0,6901.5
324,16,10,84,6,17,69,0,5770.666666666667
312,25,16,79,12,21,45,0,7655.0
330,29,16,103,20,17,53,0,9651.5
311,18,6,77,10,9,37,0,4600.75
292,9,3,63,2,19,11,0,4690.0
344,33,16,102,18,11,81,0,9060.0
317,26,14,82,16,11,61,0,6193.0
297,14,9,56,6,7,57,0,4558.25
309,23,14,59,8,3,65,0,5506.0
299,22,12,63,12,5,33,0,13463.5
295,29,12,65,20,5,35,0,3446.0
349,34,16,109,18,9,57,0,3020.0
330,18,12,91,6,21,63,0,4130.0
349,19,12,109,8,17,71,0,15085.0
326,24,15,88,14,13,77,0,11254.0
338,32,13,103,16,11,25,0,7943.5
325,25,13,76,8,5,53,0,1210.0
335,14,7,94,2,19,53,0,2697.0
300,14,7,64,2,17,17,0,3564.25
311,22,12,72,8,9,23,0,4624.0
311,22,13,78,12,13,39,0,6484.5
320,19,8,72,4,9,55,0,4573.5
319,22,13,91,12,17,21,0,3592.25
299,12,6,56,4,5,55,0,1599.0
287,10,4,46,2,7,41,0,2429.5
319,33,15,79,16,9,43,0,5853.5
314,10,3,82,4,17,37,0,5301.0
288,11,2,45,2,3,35,0,1691.0
333,35,16,87,16,3,49,0,4712.5
311,20,10,70,6,7,21,0,5987.5
322,20,8,86,12,13,69,0,5286.0
347,29,12,115,18,15,57,0,1511.0
295,25,13,63,20,3,65,0,4734.0
335,18,8,98,8,15,53,0,5972.5
324,36,18,74,16,7,79,0,3122.5
310,18,10,64,2,17,53,0,2972.5
309,17,5,57,2,3,53,0,5932.5
347,24,8,114,12,21,51,0,4816.5
314,20,9,73,12,5,75,0,5593.0
323,16,8,84,4,21,55,0,4805.5
341,23,8,100,8,19,59,0,3444.5
315,29,15,79,14,15,41,0,1715.5
315,12,6,82,2,17,11,0,4463.0
331,19,10,90,4,17,37,0,5918.5
340,19,11,105,10,17,61,0,4578.333333333333
318,17,5,71,2,5,29,0,5269.0
318,17,10,65,2,3,59,0,4985.0
312,27,9,78,14,9,23,0,2240.5
317,18,11,84,10,21,67,0,3958.5
313,33,14,78,18,9,33,0,1742.0
297,20,12,69,10,19,19,0,6491.0
315,25,14,65,8,7,65,0,9797.0
297,14,11,51,2,7,47,0,3053.5
342,23,9,99,6,19,51,0,3911.0
333,32,11,105,20,19,47,0,5808.5
322,20,10,77,4,11,37,0,8647.0
336,29,13,97,12,15,39,0,3236.0
316,20,11,93,14,19,29,0,5599.5
347,27,13,96,8,11,71,0,5633.0
322,22,8,74,6,13,69,0,9746.5
342,33,17,106,18,17,63,0,6753.5
317,32,16,83,14,19,23,0,5093.5
321,23,11,97,18,21,63,0,5676.0
315,25,8,72,12,3,51,0,945.0
325,17,9,77,6,3,69,0,3491.0
319,20,11,74,8,9,71,0,5364.5
334,26,13,96,12,15,51,0,5911.0
295,22,13,60,12,7,33,0,3923.5
331,22,11,94,8,17,35,0,3823.3333333333335
312,27,12,83,20,13,65,0,2551.0
341,23,11,98,8,17,65,0,5752.0
299,11,5,66,4,9,13,0,7195.0
334,27,14,91,10,17,61,0,4737.0
290,17,8,60,10,15,37,0,2643.0
328,33,19,92,18,15,57,0,5478.0
326,25,13,79,6,11,39,0,5837.666666666667
340,21,8,97,4,19,43,0,6442.666666666667
305,17,8,84,14,21,41,0,5629.5
351,36,18,112,18,13,51,0,3069.0
323,20,10,74,2,19,65,0,4799.5
306,16,5,56,2,5,53,0,8134.0
325,15,9,92,6,19,39,0,4233.5
332,29,15,95,18,9,69,0,1782.5
297,19,7,62,10,7,31,0,5529.0
304,29,13,69,14,13,29,0,15022.0
321,15,7,86,8,17,65,0,454.0
343,27,14,111,16,15,49,0,4151.5
310,24,9,80,12,17,21,0,4104.5
315,30,14,78,16,9,43,0,6603.0
310,18,10,73,6,17,39,0,5716.0
301,19,6,72,10,15,19,0,4534.5
346,29,14,99,10,17,73,0,2164.0
332,30,16,91,16,13,79,0,6499.75
320,16,10,76,8,3,71,0,4496.5
324,23,11,75,6,7,51,0,6138.0
311,28,14,74,14,7,29,0,5769.333333333333
308,16,9,67,2,11,17,0,6159.0
320,24,14,86,12,21,57,0,1670.0
318,39,19,72,18,3,45,0,2683.5
305,19,12,71,10,17,55,0,5301.5
311,20,13,72,8,3,17,0,5869.0
315,18,9,68,4,9,55,0,2885.0
341,28,9,113,16,21,37,0,2902.0
331,24,13,95,16,11,79,0,5539.0
307,17,7,80,12,11,27,0,9925.0
282,13,8,36,2,3,41,0,3419.0
328,14,4,88,4,19,67,0,2861.0
317,26,14,81,18,5,69,0,5662.0
326,21,12,86,8,19,65,0,8522.0
318,32,14,83,20,3,41,0,5063.5
315,23,10,79,14,5,47,0,5764.0
294,18,9,63,14,5,47,0,5033.0
309,29,14,79,16,17,31,0,3854.0
318,26,10,84,18,5,57,0,6908.0
345,32,19,108,20,11,77,0,10505.0
312,20,9,86,14,19,47,0,9664.0
305,26,16,69,16,9,61,0,6359.0
319,16,6,78,6,15,69,0,6470.0
300,17,5,54,2,5,23,0,3421.5
362,35,18,127,20,19,71,0,7721.5
319,32,16,75,14,5,41,0,9983.0
301,24,10,59,10,9,49,0,5690.0
310,21,9,58,4,3,49,0,3512.0
317,19,9,89,16,17,79,0,4451.5
292,10,3,52,2,5,29,0,12397.0
280,17,9,50,8,15,17,0,4657.0
314,25,9,75,12,13,57,0,725.0
325,27,13,85,12,15,57,0,4663.5
345,26,14,103,12,13,69,0,12128.0
342,27,14,101,12,19,75,0,8111.0
328,35,16,91,20,3,35,0,3316.5
328,13,3,85,2,13,53,0,5844.0
312,21,10,80,14,19,77,0,9124.0
288,14,7,59,8,17,35,0,6355.25
313,9,3,77,2,21,59,0,5509.0
320,16,10,84,2,19,11,0,3174.0
323,22,12,72,4,3,37,0,11378.5
335,37,19,97,20,7,41,0,11154.0
336,27,14,115,20,21,41,0,5048.666666666667
328,19,8,83,6,13,69,0,5349.5
