num_functions,cyclomatic_complexity,num_loops,num_function_calls,num_memory_allocations,num_pointer_operations,num_exp_math_operations,instruction_count,arithmetic_instr_pct,memory_instr_pct,control_instr_pct,control_path_depth,power_mw
10485,5096,3251,8136,1754,9,2652,168837,1.57,1.04,3.02,2,2466
8723,3772,2807,5799,1130,9,1376,133641,1.03,0.85,2.82,2,2435
9198,3271,2422,6114,48,9,1256,130839,0.96,0.04,2.5,2,2436
10381,4960,3760,7992,732,9,2724,177410,1.54,0.41,2.8,2,2329
9032,3124,2550,4762,8,9,26,130562,0.02,0.01,2.39,2,2359
6217,3013,2545,5638,742,9,2666,113164,2.36,0.66,2.66,2,2279
9089,2499,2337,6007,214,9,1300,131806,0.99,0.16,1.9,2,1567
5287,2316,2008,4030,422,9,1478,89452,1.65,0.47,2.59,2,1378
8266,3170,2815,5800,294,9,1798,136081,1.32,0.22,2.33,2,1420
6613,3032,1916,3924,624,9,628,108056,0.58,0.58,2.81,2,1379
10563,5124,3942,8078,1130,9,2650,184880,1.43,0.61,2.77,2,1160
11501,4499,3201,6865,778,9,870,171547,0.51,0.45,2.62,2,1203
11529,4954,3282,8121,1810,9,2144,179707,1.19,1.01,2.76,2,1137
10913,5023,3865,8826,1470,9,3196,182814,1.75,0.8,2.75,2,1085
5980,2070,1722,4245,644,9,1206,101979,1.18,0.63,2.03,2,1225
4651,2476,1778,3566,412,9,1402,84921,1.65,0.49,2.92,2,1199
10297,4658,3473,8650,1948,9,3486,170362,2.05,1.14,2.73,2,1258
7157,2728,2191,4894,868,9,1160,124014,0.94,0.7,2.2,2,1088
8566,3587,2690,6998,1650,9,2514,149041,1.69,1.11,2.41,2,1178
7495,3474,2726,5788,82,9,2072,120629,1.72,0.07,2.88,2,1185
10887,5220,4018,9052,1854,9,3504,187680,1.87,0.99,2.78,2,1201
4593,2751,1842,3751,1350,9,1658,88687,1.87,1.52,3.1,2,1449
11207,4204,3351,7951,1526,9,2200,175427,1.25,0.87,2.4,2,1363
10121,4656,3570,7957,1596,9,2936,183508,1.6,0.87,2.54,2,1214
9467,3107,2221,6370,58,9,1420,132588,1.07,0.04,2.34,2,1223
9723,3653,2741,7045,1320,9,2104,149595,1.41,0.88,2.44,2,1106
8448,3428,2556,6055,796,9,1614,137258,1.18,0.58,2.5,2,1099
12813,5501,4158,9462,966,9,2874,207144,1.39,0.47,2.66,2,1294
8120,2569,2134,5493,556,9,1174,116429,1.01,0.48,2.21,2,1191
7420,4498,2972,5683,1298,9,2160,148832,1.45,0.87,3.02,2,1296
10636,4854,3545,8035,1120,9,2638,172415,1.53,0.65,2.82,2,1292
9895,5036,3653,8161,1692,9,3114,169873,1.83,1.0,2.96,2,1182
9524,5023,3491,6253,1428,9,1566,161701,0.97,0.88,3.11,2,1194
7822,2918,2291,4339,416,9,516,118820,0.43,0.35,2.46,2,1116
8629,3090,2089,5121,320,9,664,127048,0.52,0.25,2.43,2,1162
11418,4406,3123,7997,868,9,2050,169590,1.21,0.51,2.6,2,1134
6655,2205,1963,4631,432,9,1170,107133,1.09,0.4,2.06,2,1164
6154,3176,2054,5597,1648,9,2612,110450,2.36,1.49,2.88,2,1184
6493,3551,2841,4810,274,9,1776,129918,1.37,0.21,2.73,2,1201
7004,3938,2320,5872,1808,9,2378,120664,1.97,1.5,3.26,2,1211
7742,4339,3126,5608,888,9,1852,141096,1.31,0.63,3.08,2,1346
10932,4401,3374,9079,1638,9,3442,177025,1.94,0.93,2.49,2,1120
4985,2115,1660,2677,82,9,224,75646,0.3,0.11,2.8,2,964
8717,3645,2871,6056,1306,9,1826,145519,1.25,0.9,2.5,2,1269
5626,2895,2271,4777,534,9,2124,105348,2.02,0.51,2.75,2,1133
10217,4091,2626,7196,1290,9,1862,159398,1.17,0.81,2.57,2,1282
11012,5000,4107,8244,778,9,2706,191157,1.42,0.41,2.62,2,1243
8888,3677,2843,6241,1086,9,1832,143464,1.28,0.76,2.56,2,1316
10195,4270,3294,7289,134,9,1968,159187,1.24,0.08,2.68,2,1158
10817,4783,3642,7311,734,9,1802,186256,0.97,0.39,2.57,2,1103
6130,2382,1769,3542,320,9,614,94159,0.65,0.34,2.53,2,1198
7534,2776,2097,5661,1068,9,1842,112372,1.64,0.95,2.47,2,1126
9156,4360,3343,8161,1598,9,3590,171925,2.09,0.93,2.54,2,1279
10156,6075,4368,6908,1480,9,1890,193651,0.98,0.76,3.14,2,1316
4522,1806,1312,3063,176,9,932,69703,1.34,0.25,2.59,2,1133
9515,5254,3592,7866,1372,9,3164,175429,1.8,0.78,2.99,2,1192
10908,3287,2900,8030,676,9,2296,164709,1.39,0.41,2.0,2,1293
12240,4609,3589,7436,696,9,1094,197296,0.55,0.35,2.34,2,1047
14094,6524,4836,10832,1600,9,3600,247571,1.45,0.65,2.64,2,1217
10831,5554,3840,7848,1692,9,2264,185777,1.22,0.91,2.99,2,1263
9948,4778,3424,8074,1664,9,3138,175099,1.79,0.95,2.73,2,1286
8424,3500,2882,6174,934,9,1864,133625,1.39,0.7,2.62,2,1235
6370,3238,2712,4528,834,9,1520,124980,1.22,0.67,2.59,2,1072
7308,3762,2734,4286,180,9,798,127393,0.63,0.14,2.95,2,956
9718,4764,3437,7196,1182,9,2302,161212,1.43,0.73,2.96,2,865
8544,4498,3378,6092,1722,9,1948,153563,1.27,1.12,2.93,2,893
9461,3676,2642,5615,548,9,802,139549,0.57,0.39,2.63,2,966
8276,3363,2977,5992,122,9,1788,145519,1.23,0.08,2.31,2,1018
10069,5312,3635,7904,1666,9,2930,171051,1.71,0.97,3.11,2,986
7340,4018,3237,5001,140,9,1496,139250,1.07,0.1,2.89,2,932
9383,3626,2789,7931,1346,9,3000,152365,1.97,0.88,2.38,2,1000
5879,3074,2263,4186,622,9,1338,115157,1.16,0.54,2.67,2,878
8362,3186,2245,6926,1516,9,2710,132754,2.04,1.14,2.4,2,923
7255,2293,2017,5323,132,9,1516,100489,1.51,0.13,2.28,2,930
11116,4610,3918,7621,188,9,1970,188424,1.05,0.1,2.45,2,1038
11556,6430,4519,7889,1958,9,2176,211670,1.03,0.93,3.04,2,960
7766,2380,2073,4810,52,9,774,117057,0.66,0.04,2.03,2,1017
9450,4570,3211,8115,1332,9,3266,161413,2.02,0.83,2.83,2,969
13695,6626,4968,10623,1948,9,3722,241279,1.54,0.81,2.75,2,931
