num_functions,cyclomatic_complexity,num_loops,num_function_calls,num_memory_allocations,num_pointer_operations,num_exp_math_operations,power_mW
306,22,8,68,12,11,63,2081.5
312,23,14,72,10,3,25,1444
316,30,14,82,16,13,37,178
313,19,8,76,6,15,27,1075
319,16,7,87,10,21,73,82
303,13,8,64,6,13,69,275
342,19,7,105,10,17,73,472
314,18,10,81,8,13,23,2235
336,32,18,106,18,17,33,56
321,22,11,89,14,15,59,277
307,9,4,68,2,17,65,3618
316,24,12,80,16,9,73,39
347,38,17,105,20,15,83,267
326,26,16,94,12,19,27,1270
331,24,15,83,10,5,73,1481
332,18,11,97,4,21,19,82
317,6,2,81,2,13,53,35
316,22,7,76,12,11,75,1605
328,33,14,86,16,7,49,898
322,23,13,72,6,3,45,163
294,18,9,51,8,9,71,3454
293,8,4,54,4,3,49,53
302,27,15,63,14,5,41,26
316,20,7,87,10,19,25,2589
316,16,8,75,2,15,29,1850.5
332,30,17,95,16,17,67,31
314,24,10,72,10,17,73,451
290,18,7,50,8,3,35,2788
339,26,12,106,16,21,79,284.5
333,19,10,99,6,21,27,30
319,15,7,79,2,17,35,3448
345,21,11,102,4,19,43,32
337,24,13,93,6,15,39,205
295,22,8,55,8,5,17,2820
326,33,15,88,14,15,29,35
303,15,4,61,6,9,63,256.5
324,23,9,86,8,17,35,670
329,22,9,94,8,21,35,1990
340,26,15,96,10,11,55,71
300,14,6,73,8,17,23,36
299,26,16,64,14,7,29,4884
320,23,8,92,14,13,23,38
317,28,12,70,10,3,37,27
319,24,12,86,14,19,65,2827
281,14,7,44,2,13,11,36
325,20,11,86,10,15,73,169
341,31,11,109,18,21,63,949
320,24,13,83,14,15,77,255
318,32,14,86,16,19,31,100
318,28,10,84,16,7,31,294
299,21,8,68,12,17,45,2445
330,38,17,95,20,13,35,33
311,25,9,72,14,5,53,30
341,32,17,108,20,19,77,4831
314,21,11,89,14,17,29,36
312,29,15,68,12,11,57,27
307,19,8,79,10,17,19,1530
313,20,8,75,6,19,39,34
317,20,7,76,10,7,61,259
316,15,11,81,2,19,11,39
313,24,9,81,10,19,19,1400
291,18,8,58,14,5,59,30
344,24,11,93,4,13,55,477
317,26,13,92,20,15,53,3610
313,23,10,73,6,13,15,41
292,9,3,59,4,5,13,266.5
312,29,12,79,14,19,35,3340
330,21,6,87,8,13,65,93
327,14,6,90,6,19,69,43
311,14,6,72,6,5,39,585
306,26,15,79,18,13,39,325
306,17,8,63,2,7,11,184
289,8,4,53,4,9,49,31
307,25,12,65,8,15,41,3815
321,25,13,92,20,13,77,34
337,39,19,94,20,5,53,869
301,11,8,68,2,21,29,3486
336,24,12,92,4,17,25,31
325,14,11,87,2,19,35,30
302,27,15,65,12,11,27,1372
314,23,7,69,10,9,73,108
312,17,5,70,2,11,17,266
356,29,13,114,10,19,49,33
303,25,10,68,14,7,35,1604
328,35,15,96,20,21,59,188
342,34,16,108,20,19,71,30
342,30,12,112,20,13,53,3498
315,23,10,77,8,15,29,697
325,36,19,86,20,13,71,1122
315,25,12,80,14,11,47,1605
318,14,7,83,4,21,43,141
325,26,12,92,16,9,43,129
329,16,9,80,4,5,67,12879
307,19,7,65,2,13,11,3991
305,24,10,70,16,3,49,2108
302,27,14,72,20,11,65,193
317,24,14,78,10,9,31,2116.5
306,18,9,62,6,9,57,751
303,14,2,62,2,9,23,312
305,15,8,63,2,15,41,2899
320,20,9,84,10,19,67,136
339,26,11,100,8,19,29,1361
317,15,5,82,2,21,17,709
309,16,11,69,4,9,25,2303
321,22,10,73,4,7,31,443
338,26,14,100,8,17,17,1130
320,25,15,74,10,9,67,4027
310,23,12,82,18,7,45,192
313,21,11,72,6,7,15,144
319,27,12,80,14,13,65,976
315,18,9,77,12,7,75,331
310,25,14,74,14,9,47,146
320,14,3,79,4,15,61,135
319,18,10,78,8,13,71,2271
320,30,10,81,18,3,57,2219
292,19,9,45,2,3,11,354.5
296,11,5,61,6,7,39,3780
311,26,11,70,10,7,25,36
297,27,13,55,12,3,33,32
305,9,4,74,4,19,43,1416
331,27,15,92,14,11,59,36
293,15,3,47,4,3,49,296
316,21,6,78,8,13,35,29
300,20,13,59,6,13,39,2394
328,17,5,80,2,15,65,64
298,24,9,61,14,5,47,52
306,28,16,82,20,21,53,3796
292,21,12,48,6,9,39,1581
322,31,11,98,20,19,29,33
286,10,3,43,4,3,61,1927
343,30,15,105,18,9,69,34
329,23,14,88,8,15,47,33
313,19,6,74,8,11,47,445.5
299,14,9,58,2,7,17,1200
298,12,8,64,4,15,31,72
338,24,9,91,10,5,67,255.5
322,22,9,92,16,19,79,3676
304,22,9,74,10,21,25,42
325,17,10,74,2,5,53,50
334,25,8,100,14,15,53,2320
290,12,6,47,4,7,61,1539
331,28,17,92,18,7,81,290
302,10,3,64,2,17,53,476
314,23,15,76,10,7,25,2115.5
324,28,16,91,18,13,63,136
315,25,10,86,18,13,57,498
349,35,20,112,20,19,83,3642
325,15,3,80,2,15,59,1109.5
316,31,15,86,20,9,35,127
328,16,8,88,6,13,57,1460
335,34,14,98,20,9,59,140
311,21,11,56,2,3,47,375
320,25,13,75,12,3,63,113
284,15,6,49,4,13,13,3892
333,34,15,102,20,21,59,136
297,19,11,67,10,19,37,121
311,33,18,72,18,5,45,3640
324,21,9,86,10,15,61,2010.5
302,21,7,68,8,17,23,301
321,21,6,80,8,17,65,1462
302,23,11,74,18,15,69,131
351,38,19,116,18,21,39,354.5
306,19,7,64,8,3,41,269
309,29,15,66,10,7,19,2113
332,15,8,94,2,19,29,146
330,34,17,91,16,15,49,128
336,25,13,105,16,21,73,3384
304,28,13,79,18,21,39,1924.5
310,28,11,81,20,7,41,134
296,9,5,66,4,15,25,572
286,17,5,48,6,5,15,952
332,29,16,93,20,3,83,453
345,27,15,113,18,17,75,152
303,20,6,60,8,7,53,3496
307,13,5,77,8,17,47,778
300,23,8,68,12,15,33,1003
322,19,6,91,8,19,23,1626.25
325,30,13,92,16,19,49,124
323,24,15,90,12,11,21,4585
338,27,16,97,14,7,59,140
324,28,12,90,16,9,37,28
340,30,10,102,18,11,75,879
296,12,4,64,6,7,15,2360.5
283,6,2,55,2,17,17,408.5
320,16,7,80,2,17,29,29
309,22,7,72,10,9,31,2145.5
322,23,12,92,10,21,19,26
292,16,7,47,2,3,17,226
343,19,7,109,10,21,67,2708
315,18,9,70,6,11,69,1673.25
296,26,11,63,14,11,29,4000
306,15,8,63,6,5,57,1272.5
327,30,13,89,18,9,69,166
314,30,15,75,12,11,21,2243
300,15,7,59,4,13,49,131
320,28,12,91,16,21,43,500
317,32,17,80,20,5,59,140
304,16,9,65,2,13,11,2047
323,27,9,93,14,17,23,383.5
324,35,15,83,18,13,69,1874
305,13,5,64,2,13,41,2281.5
300,28,12,61,12,7,21,150
339,30,15,96,16,9,79,148
317,25,10,83,18,3,57,1778
331,21,7,95,12,13,63,290
289,21,12,45,8,3,41,154
348,26,12,100,6,19,63,156
293,15,6,48,2,3,23,1688
318,16,9,86,10,15,55,378
330,35,17,95,18,13,33,399
304,27,11,66,14,11,53,3975
310,23,10,73,14,5,53,1049
347,33,14,116,20,17,53,1200
316,19,10,64,2,5,47,2099
343,25,14,107,10,21,43,86
340,30,13,105,16,21,67,324
312,16,7,77,8,21,71,87
330,29,12,85,14,9,77,2279.5
332,24,11,104,14,21,41,474
321,32,15,88,18,11,33,1526.5
322,22,11,82,6,19,39,1584
282,15,5,49,4,17,13,226
316,24,9,74,10,13,61,2035.5
307,16,8,63,4,3,31,22
289,24,12,56,18,5,63,34
332,27,12,96,16,17,79,2012.5
296,27,16,58,14,5,35,2011.5
305,19,10,58,4,9,49,55
288,23,10,58,16,3,25,29
331,17,10,92,6,17,57,1178
306,32,20,72,20,3,35,23
327,17,11,90,8,13,53,253.5
310,31,14,63,12,9,57,3557
325,24,13,88,14,13,71,1825.5
329,17,6,90,4,13,25,133
312,21,12,75,14,9,77,2166
332,35,16,92,18,7,45,43
340,33,15,101,18,11,63,1519.5
304,20,9,77,16,11,49,646
312,24,9,71,10,13,55,2024
326,18,8,96,14,15,71,21
289,15,5,50,6,5,33,248.5
310,27,12,65,8,5,17,2181
328,19,10,82,2,11,29,1691.5
313,23,13,70,10,7,55,25
319,21,11,89,16,15,73,328
