num_functions,cyclomatic_complexity,num_loops,num_function_calls,num_memory_allocations,num_pointer_operations,num_exp_math_operations,instruction_count,arithmetic_instr_pct,memory_instr_pct,control_instr_pct,control_path_depth,power_mw
165086,63832,52474,105374,8674,9,13908,2845738,0.49,0.3,2.24,2,172
162148,68968,46618,107695,5034,9,22004,2562108,0.86,0.2,2.69,2,114
206826,110113,70865,169463,38536,9,56532,3324007,1.7,1.16,3.31,2,372
154102,87651,63253,135325,39946,9,54706,3112872,1.76,1.28,2.82,2,424
205951,90197,71459,168132,19588,9,56270,3608723,1.56,0.54,2.5,2,234
216856,92422,78894,161581,7342,9,44220,3613731,1.22,0.2,2.56,2,173
192371,103469,65841,148695,38694,9,43594,3445153,1.27,1.12,3.0,2,356
193800,87718,65544,155405,38248,9,54932,3515397,1.56,1.09,2.5,2,368
266124,105069,85729,199301,19582,9,57256,4518678,1.27,0.43,2.33,2,222
156894,80152,57271,132832,39656,9,53804,2952769,1.82,1.34,2.71,2,436
232128,122909,83808,197745,38202,9,77350,4175032,1.85,0.92,2.94,2,469
197148,103624,76097,173458,36460,9,73908,3733697,1.98,0.98,2.78,2,434
248484,89132,77511,176183,5018,9,42948,3900358,1.1,0.13,2.29,2,110
288669,133111,95233,228999,36542,9,74984,4803600,1.56,0.76,2.77,2,379
183578,73493,54135,154400,36216,9,53398,2747219,1.94,1.32,2.68,2,367
239157,118142,80195,206317,39246,9,77114,4132766,1.87,0.95,2.86,2,391
169677,80334,59906,139721,38080,9,53330,3162163,1.69,1.2,2.54,2,420
196723,92302,67851,164377,39910,9,56700,3220978,1.76,1.24,2.87,2,396
214409,94471,74072,155954,2494,9,39520,3648706,1.08,0.07,2.59,2,197
210436,72638,56983,149956,16258,9,35260,3049832,1.16,0.53,2.38,2,117
177367,67666,55870,138471,8428,9,45234,2731483,1.66,0.31,2.48,2,86
160442,62168,54660,125874,6978,9,43838,2765393,1.59,0.25,2.25,2,175
102582,62578,39522,64545,7290,9,11168,1771920,0.63,0.41,3.53,2,119
186284,83640,57173,141690,37260,9,39524,2849746,1.39,1.31,2.93,2,519
